nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,kernal,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
8,1100,Refreshed_Hardware,010,Simulation,010,0,poly,3,0.77,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Refreshed_Simulation,010,0,poly,3,0.945,nan,nan,nan,nan,nan
8,1111,Hardware,010,Hardware,010,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,010,Simulation,010,0,poly,4,0.4125,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Simulation,010,0,poly,4,0.21,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Hardware,010,0,poly,4,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,010,Sim and Refreshed,010,0,poly,4,0.31125,nan,nan,nan,nan,nan
8,1111,Simulation,010,Simulation,010,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,010,Hardware,010,0,poly,4,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Simulation,010,0,poly,4,0.3625,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Hardware,010,0,poly,4,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Simulation,010,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,010,Hardware,010,0,poly,4,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Simulation,010,0,poly,4,0.49,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Hardware,010,0,poly,4,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Refreshed_Hardware,010,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,010,Hardware,010,0,poly,4,1.0,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Simulation,010,0,poly,4,0.77,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,010,Refreshed_Simulation,010,0,poly,4,0.95,nan,nan,nan,nan,nan
8,1111,Hardware,001,Hardware,001,0,linear,0,1.0,0.890625,0.890625,0.890625,0.875,0.875
8,1111,Hardware,001,Simulation,001,0,linear,0,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,001,Refreshed_Simulation,001,0,linear,0,0.0025,nan,nan,nan,nan,nan
8,1111,Hardware,001,Refreshed_Hardware,001,0,linear,0,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,001,Sim and Refreshed,001,0,linear,0,0.12625,nan,nan,nan,nan,nan
8,1111,Simulation,001,Simulation,001,0,linear,0,1.0,0.96875,0.9375,1.0,0.984375,0.96875
8,1111,Simulation,001,Hardware,001,0,linear,0,0.115,nan,nan,nan,nan,nan
8,1111,Simulation,001,Refreshed_Simulation,001,0,linear,0,0.035,nan,nan,nan,nan,nan
8,1111,Simulation,001,Refreshed_Hardware,001,0,linear,0,0.51,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Refreshed_Simulation,001,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,001,Hardware,001,0,linear,0,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Simulation,001,0,linear,0,0.25,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Refreshed_Hardware,001,0,linear,0,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Refreshed_Hardware,001,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,001,Hardware,001,0,linear,0,0.94,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Simulation,001,0,linear,0,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Refreshed_Simulation,001,0,linear,0,0.5,nan,nan,nan,nan,nan
8,1111,Hardware,001,Hardware,001,0,poly,1,0.675,0.765625,0.765625,0.78125,0.765625,0.765625
8,1111,Hardware,001,Simulation,001,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,001,Refreshed_Simulation,001,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,001,Refreshed_Hardware,001,0,poly,1,0.0,nan,nan,nan,nan,nan
8,1111,Hardware,001,Sim and Refreshed,001,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Simulation,001,Simulation,001,0,poly,1,0.6375,0.5,0.484375,0.453125,0.5,0.25
8,1111,Simulation,001,Hardware,001,0,poly,1,0.1175,nan,nan,nan,nan,nan
8,1111,Simulation,001,Refreshed_Simulation,001,0,poly,1,0.065,nan,nan,nan,nan,nan
8,1111,Simulation,001,Refreshed_Hardware,001,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Refreshed_Simulation,001,0,poly,1,0.675,0.765625,0.765625,0.765625,0.578125,0.671875
8,1111,Refreshed_Simulation,001,Hardware,001,0,poly,1,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Simulation,001,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Refreshed_Hardware,001,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Refreshed_Hardware,001,0,poly,1,0.4,0.5625,0.5625,0.5,0.5,0.5
8,1100,Refreshed_Hardware,001,Hardware,001,0,poly,1,0.71,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Simulation,001,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Refreshed_Simulation,001,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1111,Hardware,001,Hardware,001,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,001,Simulation,001,0,rbf,2,0.2525,nan,nan,nan,nan,nan
8,1111,Hardware,001,Refreshed_Simulation,001,0,rbf,2,0.0,nan,nan,nan,nan,nan
8,1111,Hardware,001,Refreshed_Hardware,001,0,rbf,2,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,001,Sim and Refreshed,001,0,rbf,2,0.12625,nan,nan,nan,nan,nan
8,1111,Simulation,001,Simulation,001,0,rbf,2,1.0,0.96875,1.0,1.0,1.0,0.984375
8,1111,Simulation,001,Hardware,001,0,rbf,2,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,001,Refreshed_Simulation,001,0,rbf,2,0.015,nan,nan,nan,nan,nan
8,1111,Simulation,001,Refreshed_Hardware,001,0,rbf,2,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Refreshed_Simulation,001,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,001,Hardware,001,0,rbf,2,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Simulation,001,0,rbf,2,0.25,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Refreshed_Hardware,001,0,rbf,2,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Refreshed_Hardware,001,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,001,Hardware,001,0,rbf,2,1.0,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Simulation,001,0,rbf,2,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Refreshed_Simulation,001,0,rbf,2,0.5,nan,nan,nan,nan,nan
8,1111,Hardware,001,Hardware,001,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,001,Simulation,001,0,poly,3,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,001,Refreshed_Simulation,001,0,poly,3,0.0,nan,nan,nan,nan,nan
8,1111,Hardware,001,Refreshed_Hardware,001,0,poly,3,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,001,Sim and Refreshed,001,0,poly,3,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,001,Simulation,001,0,poly,3,1.0,0.984375,1.0,1.0,1.0,1.0
8,1111,Simulation,001,Hardware,001,0,poly,3,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,001,Refreshed_Simulation,001,0,poly,3,0.0275,nan,nan,nan,nan,nan
8,1111,Simulation,001,Refreshed_Hardware,001,0,poly,3,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Refreshed_Simulation,001,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,001,Hardware,001,0,poly,3,0.125,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Simulation,001,0,poly,3,0.25,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,001,Refreshed_Hardware,001,0,poly,3,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Refreshed_Hardware,001,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,001,Hardware,001,0,poly,3,1.0,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Simulation,001,0,poly,3,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,001,Refreshed_Simulation,001,0,poly,3,0.5,nan,nan,nan,nan,nan
8,1111,Hardware,001,Hardware,001,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,001,Simulation,001,0,poly,4,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,001,Refreshed_Simulation,001,0,poly,4,0.0025,nan,nan,nan,nan,nan
8,1111,Hardware,001,Refreshed_Hardware,001,0,poly,4,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,001,Sim and Refreshed,001,0,poly,4,0.12625,nan,nan,nan,nan,nan
